issue_number,title,status,assignee,lab,sprint,rq
14,Criar relatório final do projeto,Done,marcelacamposm,Lab01,Final Report,
16,Extrair snapshot da sprint,Done,marcelacamposm,Lab01,S03,
17,Hospedar o dashboard web no github pages,Done,jaoppb,Lab01,S03,
15,Melhorar o dashboard web com mêtricas e filtragem dinâmica,Done,jaoppb,Lab01,S03,
13,Criar dashboard web com as métricas,Done,GabriAssiss,Lab01,S03,
12,Atualizar board e exportar snapshot da Sprint S02,Done,marcelacamposm,Lab01,S02,
11,Consolidar hipóteses informais em documento único (primeira versão do relatório),Done,"jaoppb, marcelacamposm, GabriAssiss",Lab01,S02,
9,Validar dados de RQ03 + RQ04 na base de 1000 repositórios,Done,jaoppb,Lab01,S02,
8,Validar dados de RQ01 + RQ02 na base de 1000 repositórios,Done,marcelacamposm,Lab01,S02,
10,Validar dados de RQ05 + RQ06 na base de 1000 repositórios,Done,GabriAssiss,Lab01,S02,
7,Implementar paginação para consulta de 100000 repositórios,Done,jaoppb,Lab01,S02,
5,"Integrar scripts individuais em uma única consulta do grupo (100 repos, requisição automática)",Done,jaoppb,Lab01,S01,
1,Setup inicial: estrutura de pastas e READMEs,Done,marcelacamposm,Geral,,
2,Extrair e validar dados para RQ01 + RQ02,Done,marcelacamposm,Lab01,S01,
3,Extrair e validar dados para RQ03 + RQ04,Done,jaoppb,Lab01,S01,
4,Extrair e validar dados para RQ05 + RQ06,Done,GabriAssiss,Lab01,S01,
6,"Criar script GraphQL para gerar snapshot do Project (Status, Sprint, Lab) em CSV",Done,marcelacamposm,Lab01,S01,
